player,death_time,deaths_amount,kills_amount,total_damage_dealt,total_damage_to_champions,pentakills,quadra_kills,triple_kills,skillshots_hit,first_blood_kill,dragon_takedowns,team_baron_kills,total_minions_killed,wards_placed,wards_killed,individual_position,champion_name,kda,epic_monster_steals
Reive,350,11,3,218729,38172,0,0,0,,False,1,1,174,9,1,BOTTOM,Ashe,2.8181818181818183,0
Reive,134,5,2,62461,14476,0,0,0,,False,0,0,133,4,1,BOTTOM,Ashe,0.8,0
Reive,256,7,13,191515,39430,0,0,0,,True,2,0,215,10,0,BOTTOM,Lucian,2.857142857142857,0
Reive,247,8,2,91681,16084,0,0,0,,False,0,0,149,9,3,TOP,Ambessa,0.375,0
Reive,95,4,6,123637,16970,0,0,0,,False,0,0,193,8,2,BOTTOM,Nilah,2.5,0
Reive,270,8,11,212187,56738,0,0,0,,False,0,1,220,7,1,TOP,Ambessa,2.875,0
Reive,163,6,9,212312,34456,0,0,0,,False,2,0,237,9,2,BOTTOM,Sivir,3.0,0
Reive,121,5,20,235991,51174,0,0,1,,False,2,1,209,10,4,BOTTOM,Kaisa,6.6,0
Reive,222,7,12,167515,32430,0,0,0,,True,3,0,190,7,1,BOTTOM,Yunara,2.5714285714285716,0
Reive,348,11,10,202431,44157,0,0,0,,False,1,0,240,9,4,BOTTOM,Yunara,1.9090909090909092,0
Reive,136,4,13,144228,27682,0,0,1,,False,2,0,176,6,2,BOTTOM,Kaisa,4.5,0
Reive,330,12,13,222438,34764,0,0,0,,False,0,0,273,9,0,BOTTOM,Kaisa,2.0,0
Reive,303,13,0,127350,16961,0,0,0,,False,1,0,205,8,2,BOTTOM,Yunara,0.5384615384615384,0
Reive,276,9,4,162999,28460,0,0,0,,False,0,0,214,9,2,MIDDLE,Ryze,1.3333333333333333,0
Reive,283,8,16,312505,73774,0,0,0,,False,3,1,293,13,2,MIDDLE,Orianna,4.125,0
Reive,244,6,15,280591,53577,0,0,1,,False,4,1,246,10,2,BOTTOM,Yunara,4.666666666666667,0
Reive,240,8,9,138275,26624,0,0,0,,False,1,0,202,5,1,BOTTOM,Kaisa,1.75,0
Reive,104,5,12,116705,26604,0,0,0,,False,1,0,165,7,1,BOTTOM,Kaisa,3.8,0
Reive,76,4,10,194038,38584,0,0,1,,False,3,1,225,6,2,BOTTOM,Yunara,6.0,0
Reive,169,5,17,139614,35293,0,0,1,,False,2,0,175,7,4,BOTTOM,Yunara,4.8,0
Reive,204,6,18,232525,60289,0,0,0,,False,3,1,225,9,0,BOTTOM,Yunara,5.166666666666667,0
Reive,97,4,14,278105,59328,0,1,1,,False,1,1,279,9,6,BOTTOM,Yunara,6.5,0
Reive,278,12,3,79269,19205,0,0,0,,False,0,0,157,9,0,BOTTOM,Yunara,0.5,0
Reive,218,9,13,165244,28432,0,0,0,,False,1,0,200,8,3,BOTTOM,Yunara,2.2222222222222223,0
Reive,148,6,20,242427,41549,0,0,0,,False,2,1,246,8,2,BOTTOM,Kaisa,3.8333333333333335,0
Reive,74,3,15,161072,33689,0,0,0,,True,1,0,203,9,3,BOTTOM,Yunara,7.0,0
Reive,88,4,10,112555,28358,0,0,0,,False,1,0,157,5,0,BOTTOM,Yunara,5.25,0
Reive,204,8,5,91632,17919,0,0,0,,False,0,0,167,6,1,BOTTOM,Yunara,1.125,0
Reive,421,13,6,140760,23946,0,0,0,,False,1,0,153,14,0,BOTTOM,Yunara,1.5384615384615385,0
Reive,327,10,3,100830,24773,0,0,0,,False,0,0,182,7,2,BOTTOM,Yunara,0.5,0
Reive,109,5,8,78036,16132,0,0,0,,False,0,0,142,4,1,BOTTOM,Yunara,2.4,0
Reive,133,4,24,222830,49589,0,1,2,,True,0,0,235,8,3,BOTTOM,Yunara,8.0,0
Reive,439,12,11,181874,34543,0,0,0,,False,1,1,184,12,0,TOP,Gwen,1.5833333333333333,0
Reive,212,8,9,367259,38813,0,0,0,,False,3,2,47,25,2,JUNGLE,LeeSin,3.625,0
Reive,306,9,14,249653,66175,0,0,0,,False,0,1,222,12,1,BOTTOM,Lucian,2.7777777777777777,0
Reive,245,7,11,215325,40527,0,0,0,,False,3,1,244,8,1,BOTTOM,Kaisa,3.142857142857143,0
Reive,32,1,12,97881,20029,0,0,2,,False,0,0,151,4,3,BOTTOM,Kaisa,15.0,0
Reive,200,5,11,238014,33161,0,0,0,,False,3,0,18,10,1,JUNGLE,LeeSin,5.0,0
Reive,285,11,4,88401,21146,0,0,0,,True,0,0,150,6,2,TOP,Riven,0.9090909090909091,0
Reive,228,8,16,251010,36530,0,0,0,,False,0,0,38,18,3,JUNGLE,LeeSin,3.125,0
Reive,378,9,13,280147,53436,0,0,0,,False,0,0,268,6,1,MIDDLE,Yone,3.111111111111111,0
Reive,25,1,11,272484,21781,0,0,0,,False,3,1,32,14,0,JUNGLE,LeeSin,21.0,0
Reive,195,8,4,92460,15988,0,0,0,,False,0,0,175,7,1,TOP,Riven,1.0,0
Reive,228,8,18,281410,53208,0,0,0,,False,3,0,245,9,0,BOTTOM,Ezreal,3.875,0
Reive,137,5,11,160176,24616,0,0,0,,False,1,0,205,7,3,BOTTOM,Lucian,3.8,0
Reive,257,7,8,122670,30727,0,0,0,,False,2,0,145,9,2,MIDDLE,Sylas,2.857142857142857,0
Reive,198,7,6,167922,26936,0,0,0,,False,1,1,213,9,4,BOTTOM,Draven,2.142857142857143,0
Reive,40,2,9,375712,40263,0,0,0,,False,4,1,47,5,7,JUNGLE,Lillia,14.0,0
Reive,241,7,5,247754,17706,0,0,0,,False,0,0,29,11,2,JUNGLE,LeeSin,1.7142857142857142,0
Reive,115,5,0,61802,5730,0,0,0,,False,0,0,123,1,1,MIDDLE,Yone,0.2,0
Reive,296,7,13,223386,52156,0,0,1,,False,0,0,249,7,5,MIDDLE,Ahri,4.571428571428571,0
Reive,266,8,8,170103,36910,0,0,1,,False,2,0,221,10,2,MIDDLE,Cassiopeia,1.75,0
Reive,311,10,5,157101,31234,0,0,0,,False,0,0,238,10,0,MIDDLE,Mel,0.9,0
Reive,0,0,0,1957,675,0,0,0,,False,0,0,7,0,0,MIDDLE,Mel,0.0,0
Reive,129,6,1,71360,12624,0,0,0,,False,0,0,138,7,2,MIDDLE,Viktor,0.6666666666666666,0
Reive,396,10,17,258610,60440,0,0,1,,False,0,0,254,16,8,BOTTOM,Corki,1.9,0
Reive,57,3,1,43594,11391,0,0,0,,False,0,0,102,6,1,MIDDLE,Sylas,0.6666666666666666,0
